
ＤＱＭ
連続攻撃(攻撃), 連斬撃
連続攻撃(命中), 打撃;打撃
隼斬り, 連斬撃
テイルボウ, 弓矢
かみつき, 噛み付き
踏みつけ, 踏み潰し
押しつぶし, 踏み潰し
捕食, 噛み付き
ハサミ, ダブル斬撃
顎, ダブル斬撃
角, 刺突
スコップ(命中), 打撃
ベビーフォーク, 刺突
三叉の鉾, トライデント
くちばし(命中), 刺突
矢, 弓矢
木の矢, 弓矢
毒の矢, 弓矢
宝石(攻撃), ４ＷＡＹ射出
宝石(命中), 乱打
放水(準備), -
放水(攻撃), 光球 青
放水(命中), 飛沫 青 Splash.wav
舌(攻撃), 斬撃
舌(命中), 打撃 whip.wav
いばらのツタ(攻撃), 連斬撃
いばらのツタ(命中), 打撃 Whip.wav;打撃 Whip.wav
さそりの尾(命中), 刺突
蛇手(命中), 噛み付き
みなごろし(攻撃), 斬撃
みなごろし(命中), 大斬撃
シールドアタック, 殴打武器 Shield\EFFECT_Shield01.bmp
連続痛恨(攻撃), 連斬撃
連続痛恨(命中), 強打 Crash.wav;超打 Crash.wav
爆裂拳, 乱打
火柱(攻撃), キャノン砲
火柱(命中), 火柱
火の息, 炎投射 赤
ホーミングブレス, 炎投射 赤
凍りつく息(攻撃), 火炎放射 青 Interference.wav
凍りつく息(命中), 火炎放射 青 Glass.wav
凍える吹雪(攻撃), 火炎放射 青 Storm.wav
凍える吹雪(命中), 火炎放射 青 Glass.wav
激しい炎(攻撃), 火炎放射 赤 AntiShipMissile.wav
激しい炎(命中), 火炎放射 赤 Fire.wav
灼熱の炎(攻撃), 火炎放射 赤 AntiShipMissile.wav
灼熱の炎(命中), 火炎放射 赤 Fire.wav
煉獄火炎(攻撃), ＭＡＰビーム 赤 Fire.wav
燃えさかる火炎(攻撃), 火炎放射 赤 Breath.wav
燃えさかる火炎(命中), 火炎放射 赤 Fire.wav
冷たい息, 吹雪
高熱のガス(攻撃), 煙噴射 赤
高熱のガス(命中), 炎 赤
火の玉(攻撃), キャノン砲
火の玉(命中), 炎
毒の息, 煙噴射 緑
甘い息, 煙噴射 桃
焼けつく息(攻撃), 煙噴射 赤
焼けつく息(命中), 煙 赤 Inori.wav
猛毒の霧, 煙噴射 緑
痛恨の一撃(攻撃), 斬撃
痛恨の一撃(命中), 超打 Crash.wav
力溜め(攻撃), 粒子集中 白 対象ユニットＩＤ;斬撃
力ため(命中), 超打 Crash.wav
痛恨の一撃(大目玉), 大ビーム 白
雄叫び, 音波
まぶしい光(攻撃), 発光 白 対象ユニットＩＤ
まぶしい光(命中), 発光 白
闇の波動(攻撃), 波動放射 黒
闇の波動(命中), 重力圧縮
黒い霧, ＭＡＰ煙 黒
呪い(攻撃), 光投射 黒
呪い(命中), 発光 黒
眠りの矢, 弓矢
大地揺らし(攻撃), Shock(Low).wav;煙 黄 対象ユニットＩＤ
大地揺らし(命中), 打撃
二本の大剣, 大剣 二刀流
凍てつく波動(ＭＡＰ), ＭＡＰオーラ 白
ビッグバン(攻撃), 光投射 白
ビッグバン(命中), 超爆発
アルテマソード(攻撃), 魔法集中 白 Hittyuu.wav 相手ユニットＩＤ;振り下ろし
アルテマソード(命中), 唐竹割り
アルテマソード(とどめ), 縦分割
いかづちの杖・ベギラマ, 中ビーム 赤
ルカニ(攻撃), 光投射 桃
ルカニ(命中), 発光 桃
ルカニ(クリティカル), 劣化
ルカナン(攻撃), ＭＡＰ発光 桃
ルカナン(命中), 発光 桃
ルカナン(クリティカル), 防御力ＤＯＷＮ
ボミオ(攻撃), 光投射 桃
ボミオ(命中), 発光 桃
ボミオ(クリティカル), 運動性ＤＯＷＮ
ボミオス(攻撃), ＭＡＰ発光 桃
ボミオス(命中), 発光 桃
ボミオス(クリティカル), 運動性ＤＯＷＮ
マヌーサ, ＭＡＰ煙 白
マヌーサ(クリティカル), 撹乱
ラリホー(攻撃), 光投射 桃
ラリホー(命中), 発光 桃
ラリホー(クリティカル), 睡眠
ラリホーマ(攻撃), 光投射 桃
ラリホーマ(命中), 発光 桃
ラリホーマ(クリティカル), 睡眠
メダパニ(攻撃), 光投射 桃
メダパニ(命中), 発光 桃
メダパニ(クリティカル), 混乱
マホトーン(攻撃), 光投射 桃
マホトーン(命中), 発光 桃
マホトーン(クリティカル), 沈黙
バシルーラ(攻撃), 光投射 青
バシルーラ(命中), 打撃
マホトラ(攻撃), 光投射 黒
マホトラ(命中), 吸収 黒
メラ(攻撃), キャノン砲
メラ(命中), 炎
メラミ(攻撃), キャノン砲
メラミ(命中), 炎
メラゾーマ(攻撃), 大キャノン砲
メラゾーマ(命中), 火柱
ヒャド(攻撃), 氷弾
ヒャド(命中), 凍結 glass.wav
ヒャド(クリティカル), ショック
ヒャダイン(攻撃), 吹雪
ヒャダイン(命中), 凍結 glass.wav
ヒャダルコ(攻撃), 氷柱
ヒャダルコ(命中), 凍結 glass.wav
マヒャド(攻撃), 氷弾;氷弾;氷弾
マヒャド(命中), 凍結 glass.wav
ギラ, 小ビーム 赤
ベギラマ, 中ビーム 赤
ベギラゴン, 大ビーム 赤
バギ, 風
バギマ, 強風
バギクロス, 旋風
イオ(攻撃), 光投射 白
イオ(命中), 爆発
イオラ(攻撃), 光投射 白
イオラ(命中), 大爆発
イオナズン(攻撃), 光投射 白
イオナズン(命中), 超爆発
デイン, 電撃
ライデイン, 落雷
ギガデイン, 大落雷
ザキ(攻撃), 光投射 黒
ザキ(命中), 発光 黒
ザキ(クリティカル), 即死
ザラキ(攻撃), 光投射 黒
ザラキ(命中), 発光 黒
ザラキ(クリティカル), 即死
ザラキーマ(攻撃), 光投射 黒
ザラキーマ(命中), 発光 黒
ザラキーマ(クリティカル), 即死
メガンテ, ＭＡＰ大爆発
マダンテ(攻撃), ＭＡＰフラッシュ Charge(Long).wav
マダンテ(命中), 超爆発
モシャス(攻撃), 光投射 桃
モシャス(命中), 吸収 桃
ピオラ, 魔法放射 桃;魔法集中 桃 相手ユニットＩＤ
ピオリム, 魔法放射 桃;魔法集中 桃 相手ユニットＩＤ
ホイミ, 魔法放射 白;魔法集中 白 相手ユニットＩＤ
ベホイミ, 魔法放射 白;魔法集中 白 相手ユニットＩＤ
ベホマ, 魔法放射 白;魔法集中 白 相手ユニットＩＤ
ベホマラー, 魔法放射 白;魔法集中 白 相手ユニットＩＤ
ベホマズン, 回復魔法
ザオリク, 回復魔法
ザオラル, 回復魔法
アストロン, 魔法集中 黒



