
ＤＱＭ
体当たり(命中), Punch.wav
体当たり(剣)(命中), Saber.wav
押しつぶし(命中), Shock(Low).wav
踏みつけ(命中), Shock(Low).wav
かみつき(命中), Saber.wav
触手(命中), Punch.wav
宝石(命中), Punch.wav
舌(命中), Whip.wav
クロスボウ, Bow.wav
クロスボウ(命中), Stab.wav
なめまわし(命中), -.wav
まぶしい光, Glass.wav
呪い, Fold.wav
催眠攻撃, Flair.wav
石つぶて, Swing.wav
石つぶて, Punch(4).wav
いばらのツタ, 2;Swing.wav;Swing.wav
いばらのツタ(命中), 2;Whip.wav;Whip.wav
隼斬り, 2;Swing.wav;Swing.wav
隼斬り(命中), 2;Saber.wav;Saber.wav
みなごろし(命中), Crash.wav
蛇手, Swing.wav
蛇手(命中), Stab.wav
爆裂拳, FastGun.wav
爆裂拳(命中), 1;Punch.wav;1;Punch.wav;1;Punch.wav;1;Punch.wav;Punch.wav
火柱, Cannon.wav
火柱(命中), Fire.wav
甘い息, Interference.wav
毒の息, Interference.wav
猛毒の霧, Interference.wav
焼けつく息, Interference.wav
黒い霧, Interference.wav
高熱のガス, Interference.wav
高熱のガス(命中), Fire.wav
火の玉, Cannon.wav
火の玉(命中), Fire.wav
火の息, Fire.wav
火の息(命中), Fire.wav
燃えさかる火炎, Breath.wav
燃えさかる火炎(命中), Fire.wav
激しい炎, Breath.wav
激しい炎(命中), Fire.wav
煉獄火炎, Breath.wav
煉獄火炎(命中), Fire.wav
灼熱の炎, Breath.wav
灼熱の炎(命中), Fire.wav
ホーミングブレス, Cannon.wav
ホーミングブレス(命中), Fire.wav
冷たい息, Wind.wav
冷たい息(命中), Glass.wav
凍りつく息, Breath.wav
凍りつく息(命中), Glass.wav
凍える吹雪, Breath.wav
凍える吹雪(命中), Glass.wav
輝く息, Interference.wav
輝く息(命中), Glass.wav
不思議な踊り(命中), PiyoPiyo.wav
闇の波動, Interference.wav
十字架, Sword.wav
星の杖(命中), Punch.wav
シャーマンの杖(命中), Punch.wav
いかづちの杖(命中), Punch.wav
いかづちの杖・ベギラマ, AntiAirMissile.wav
いかづちの杖・ベギラマ(命中), Explode.wav
突き飛ばし(命中), Crash.wav
メラ, Whiz.wav
メラ(命中), Fire.wav
メラミ, Whiz.wav
メラミ(命中), Fire.wav
メラゾーマ, Whiz.wav
メラゾーマ(命中), Fire.wav
バギ, Storm.wav
バギ(命中), Saber.wav
バギマ, Storm.wav
バギマ(命中), 1;Saber.wav;Saber.wav
バギクロス, Storm.wav
バギクロス(命中), 1;Saber.wav;1;Saber.wav;1;Saber.wav;1;Saber.wav;Saber.wav
ギラ, Beam.wav
ギラ(命中), Explode.wav
ベギラマ, AntiAirMissile.wav
ベギラマ(命中), Explode.wav
ベギラゴン, AntiAirMissile.wav
ベギラゴン(命中), Explode.wav
ヒャド, Bow.wav
ヒャド(命中), Glass.wav
ヒャド(クリティカル), 1;Glass.wav;1;Glass.wav;Glass.wav
ヒャダイン, 1;Sword.wav;1;Sword.wav;Sword.wav
ヒャダイン(命中), Glass.wav
ヒャダルコ, Sword.wav
ヒャダルコ(命中), Glass.wav
マヒャド, 1;Sword.wav;1;Sword.wav;1;Sword.wav;1;Sword.wav;1;Sword.wav;1;Sword.wav;1;Sword.wav;1;Sword.wav;Sword.wav
マヒャド(命中), Glass.wav
イオ, Explode.wav
イオラ, Explode.wav
イオナズン, Explode(Far).wav
ザキ, Search.wav
ザラキ, Search.wav
ザラキーマ, Search.wav
バシルーラ(命中), Cannon.wav
メガンテ, Explode(Far).wav
マダンテ, 4;Charge.wav;Explode(Far).wav
ホイミ, Sharara.wav
ベホイミ, Sharara.wav
ベホマ, Sharara.wav
ベホマラー, Sharara.wav
ベホマズン, Sharara.wav
ザオリク, Sharara.wav
ザオラル, Sharara.wav
反射(マホカンタ), BeamCoat.wav
ザキ(クリティカル), Inori.wav
ザラキ(クリティカル), Inori.wav
ザラキーマ(クリティカル), Inori.wav
ラリホー(クリティカル), Bubble.wav
ラリホーマ(クリティカル), Bubble.wav
マヌーサ(クリティカル), Inori.wav
マホトーン(クリティカル), Inori.wav
メダパニ(クリティカル), Bubble.wav
ルカニ(クリティカル), Crash.wav
ルカナン(クリティカル), Crash.wav
ピオラ(クリティカル), PiyoPiyo.wav
ピオリム(クリティカル), PiyoPiyo.wav
ボミオ(クリティカル), PiyoPiyo.wav
ボミオス(クリティカル), PiyoPiyo.wav
モシャス(クリティカル), Sharara.wav
凍てつく波動(ＭＡＰ), MicroMissile.wav
ビッグバン, 4;Charge.wav;Explode(Far).wav
アルテマソード, 3;Sword.wav;Swing.wav
アルテマソード(命中), 3;Saber.wav;Glass.wav
毒の息(解説), $(ユニット)は毒の息を吐いた。
甘い息(解説), $(ユニット)は甘い息を吐いた。
焼けつく息(解説), $(ユニット)は焼けつく息を吐いた。
猛毒の霧(解説), $(ユニット)は猛毒の霧を吐き出した。
火の息(解説), $(ユニット)は火の息を吐いた。
燃えさかる火炎(解説), $(ユニット)は燃えさかる火炎を吐いた。
激しい炎(解説), $(ユニット)は激しい炎を吐いた。
灼熱の炎(解説), $(ユニット)は灼熱の炎を吐いた。
煉獄火炎(解説), $(ユニット)は煉獄火炎を吐いた。
冷たい息(解説), $(ユニット)は冷たい息を吐いた。
凍りつく息(解説), $(ユニット)は凍りつく息を吐いた。
凍える吹雪(解説), $(ユニット)は凍える吹雪を吐いた。
輝く息(解説), $(ユニット)は全身を震わせ冷たく輝く息を吐いた。
火の玉(解説), $(ユニット)は火の玉を吐いた。
火柱(解説), $(ユニット)は火の玉を吐いた。;火柱となった炎が燃えさかる！
高熱のガス(解説), $(ユニット)は高熱のガスを噴き出した。
押しつぶし(解説), $(ユニット)はぷくーっと膨れ上がってのしかかってきた。
のしかかり(解説), $(ユニット)はぷくーっと膨れ上がってのしかかってきた。
なめまわし(解説), $(ユニット)は$(相手ユニット)の顔をなめまわした。
作戦変更(解説), $(ユニット)は味方の声で叫んだ。
雄叫び(解説), $(ユニット)は雄叫びを上げた。
まぶしい光(解説), $(ユニット)は体中からまぶしい光を放った。
黒い霧(解説), $(ユニット)の体から黒い霧が噴き出し辺りを包み込んだ。
闇の波動(解説), $(ユニット)は闇の波動を放った。
痛恨の一撃(解説), $(ユニット)の攻撃。痛恨の一撃！
突き飛ばし(解説), $(ユニット)は$(相手ユニット)を突き飛ばした。
石つぶて(解説), $(ユニット)は石を拾って投げつけた。
みなごろし(解説), $(ユニット)はいきりたって$(相手ユニット)に襲い掛かった。
爆裂拳(解説), $(ユニット)は爆裂拳を放った。
いかづちの杖・ベギラマ(解説), $(ユニット)はいかづちの杖をふりかざした。;杖からいかづちがほとばしる！
ビッグバン(解説), $(ユニット)はビッグバンを引き起こした。
自爆(解説), $(ユニット)ははじけ飛んだ！
凍てつく波動(解説), $(ユニット)の指から凍てつく波動がほとばしる！
