
ドラゴンクエスト４
連続攻撃(攻撃), 連斬撃
連続攻撃(命中), 連打
二回攻撃(攻撃), 連斬撃
二回攻撃(命中), ダメージ Crash.wav;ダメージ Crash.wav
冷たい息, 吹雪
凍える吹雪(攻撃), 旋風 白 Storm.wav
凍える吹雪(命中), 旋風 白 Glass.wav
冷たく輝く息(攻撃), 火炎放射 白 Interference.wav
冷たく輝く息(命中), 火炎放射 白 -.wav
火の息, 炎投射 赤
火の玉(攻撃), キャノン砲
火の玉(命中), 炎
激しい炎(攻撃), 火炎放射 赤 AntiShipMissile.wav
激しい炎(命中), 火炎放射 赤 Fire.wav
灼熱の炎(攻撃), 火炎放射 赤 AntiShipMissile.wav
灼熱の炎(命中), 火炎放射 赤 Fire.wav
燃えさかる火炎(攻撃), 火炎放射 赤 Breath.wav
燃えさかる火炎(命中), 火炎放射 赤 Fire.wav
高熱のガス(攻撃), 煙噴射 赤 Breath.wav
高熱のガス(命中), 炎
毒の息, 煙噴射 緑 Breath.wav
甘い息, 煙噴射 桃 Bubble.wav
焼けつく息(攻撃), 煙噴射 赤 Breath.wav
焼けつく息(命中), 煙 赤 Inori.wav
痛恨の一撃(攻撃), 斬撃
痛恨の一撃(命中), 超打 Crash.wav
凍てつく波動, 波動放射 残像
おたけび, 音波
ギガソード(準備), 魔法陣 黄 Sharara.wav;落雷 Thunder.wav
ギガソード(攻撃), 振り下ろし;波動放射 黄 MicroMissile.wav
ギガソード(命中), 大電撃 Explode(Nuclear).wav
ルカニ(攻撃), 発光 桃
ルカニ(命中), -
ルカニ(クリティカル), 劣化
ルカナン(攻撃), ＭＡＰ発光 桃
ルカナン(命中), -
ルカナン(クリティカル), 発光 桃;防御力ＤＯＷＮ
マヌーサ(攻撃), ＭＡＰ煙 白 Hide.wav
マヌーサ(命中), -
マヌーサ(クリティカル), 煙 白;撹乱
ラリホー(攻撃), 煙 桃 Bubble.wav
ラリホー(命中), -
ラリホー(クリティカル), 睡眠
ラリホーマ(攻撃), 煙 桃 Bubble.wav
ラリホーマ(命中), -
ラリホーマ(クリティカル), 睡眠
メダパニ(攻撃), 五芒星 桃 Hide.wav
メダパニ(命中), -
メダパニ(クリティカル), 混乱
マホトーン(攻撃), 五芒星 赤 Sharara.wav
マホトーン(命中), -
マホトーン(クリティカル), 沈黙
ニフラム(攻撃), 粒子集中 白
ニフラム(クリティカル), 飛沫 白 Inori.wav
#ニフラム(クリティカル)(解説), $(Nickname(相手ユニットＩＤ))は光の彼方に消え去った！
メラ(攻撃), キャノン砲
メラ(命中), 爆発
メラミ(攻撃), 火炎弾 Cannon.wav
メラミ(命中), 大爆発
メラゾーマ(攻撃), 大キャノン砲
メラゾーマ(命中), 超爆発
ヒャド(攻撃), 氷弾
ヒャド(命中), 凍斬撃 Stab.wav
ヒャダルコ(攻撃), 氷柱
ヒャダルコ(命中), 凍結 glass.wav
ヒャダイン(攻撃), 旋風 白
ヒャダイン(命中), 吹雪 glass.wav
マヒャド(攻撃), 旋風 青
マヒャド(命中), 拡散ビーム 青 glass.wav
ギラ(攻撃), 中ビーム 赤 Fire.wav
ギラ(命中), 中ビーム 赤 -.wav
ベギラマ, 中ビーム 黄
ベギラゴン(攻撃), 大ビーム 赤 MicroMissile.wav
ベギラゴン(命中), 大ビーム 赤 -.wav
バギ(攻撃), シュートカッター
バギ(命中), シュートカッター Slash.wav
バギマ(攻撃), 竜巻
バギマ(命中), 竜巻 Slash.wav
バギクロス(準備), 竜巻
バギクロス(攻撃), 連斬撃 Saber.wav;波動放射 白 Storm.wav
バギクロス(命中), 唐竹割り;横大斬撃
イオ(攻撃), Charge.wav;粒子集中 黄 -.wav;ＭＡＰ爆発
イオ(命中), Crash.wav
イオラ(攻撃), Charge.wav;粒子集中 赤 -.wav;粒子集中 白 -.wav;粒子集中 黄 -.wav;ＭＡＰ大爆発
イオラ(命中), Crash.wav
イオナズン(攻撃), Charge(Long).wav;粒子集中 赤 -.wav;粒子集中 青 -.wav;粒子集中 白 -.wav;粒子集中 黄 -.wav;粒子集中 桃 -.wav;DQ04_イオナズン
イオナズン(命中), Crash.wav
ライデイン(準備), Thunder.wav
ライデイン(攻撃), 落雷 Whip.wav
ライデイン(命中), 飛沫 黄 Inori.wav
ギガデイン(攻撃), 落雷 Thunder.wav
ギガデイン(命中), 大放電 Inori.wav
ミナデイン, 大落雷
ジゴスパーク(攻撃), 波動放射 黄 LaserGun.wav
ジゴスパーク(命中), 大放電
ザキ(攻撃), 光投射 黒
ザキ(命中), 発光 黒
ザラキ(攻撃), 光投射 黒
ザラキ(命中), 発光 黒
マダンテ(攻撃), 魔法陣
マダンテ(命中), 超爆発
ホイミ, 回復魔法泡
ベホイミ, 回復魔法
ベホマ, 回復魔法;回復魔法泡
ベホマラー(使用), 飛沫 白 Sharara.wav
ベホマラー(発動), 回復魔法泡 Sharara.wav
ベホマズン(使用), @戦闘アニメ_Ｍ全投ビーム共通 白 Sharara.wav 3
ベホマズン(発動), -
#ベホマズン(使用), @戦闘アニメ_Ｍ全投ビーム共通 白 Sharara.wav 3
#ベホマズン(発動), -
真空波(攻撃), 気斬
真空波(命中), 気斬 Slash.wav
バトルアックス, 鋼の斧
風神の盾(攻撃), 旋風
風神の盾(命中), 旋風
奇跡の剣, ソード
ドラゴンキラー(準備), カタール Sword.wav
ドラゴンキラー(攻撃), 刺突
ドラゴンキラー(命中), ダメージ Stab.wav
魔神の金槌(準備), ピコピコハンマー
魔神の金槌(攻撃), 白兵武器
魔神の金槌(命中), 超打
皆殺しの剣, 呪剣
蛮刀, 青龍刀
両手の蛮刀, 青龍刀 二刀流
茨の鞭, 鞭
鉄の爪, クロー
炎の爪(攻撃), 中ビーム 赤 Fire.wav
