
# ＧＳＣ丸投げパックにて使用されている下記のファイルを、攻撃アニメに採用しています。
# EFFECT_DQS_CelestialSword.bmp
# EFFECT_DQS_DragonStaff01.bmp
# EFFECT_DQS_DemonSpear.bmp
# EFFECT_DQS_FalconSword01.bmp
# EFFECT_DQS_PoisonMothKnife01.bmp
# EFFECT_DQS_SawBlade.bmp
# EFFECT_DQS_SlumberSword01.bmp

汎用
ストロスの杖, 回復魔法

ドラゴンクエスト５
# 攻撃呪文
メラ(攻撃), キャノン砲
メラ(命中), 爆発
メラミ(攻撃), 火炎弾 Cannon.wav
メラミ(命中), 大爆発
メラゾーマ(攻撃), 大キャノン砲
メラゾーマ(命中), 超爆発
ヒャド(攻撃), 氷弾
ヒャド(命中), 凍斬撃 Stab.wav
ヒャダルコ(攻撃), 氷柱
ヒャダルコ(命中), 凍結 glass.wav
マヒャド(攻撃), 旋風 青
マヒャド(命中), 拡散ビーム 青 glass.wav
ギラ(攻撃), 中ビーム 赤 Fire.wav
ギラ(命中), 中ビーム 赤 -.wav
ベギラマ, 中ビーム 黄
ベギラゴン(攻撃), 大ビーム 赤 MicroMissile.wav
ベギラゴン(命中), 大ビーム 赤 -.wav
バギ(攻撃), シュートカッター
バギ(命中), シュートカッター Slash.wav
バギマ(攻撃), 竜巻
バギマ(命中), 竜巻 Slash.wav
バギクロス(準備), 竜巻
バギクロス(攻撃), 連斬撃 Saber.wav;波動放射 白 Storm.wav
バギクロス(命中), 唐竹割り;横大斬撃
イオ(攻撃), Charge.wav;粒子集中 黄 -.wav;ＭＡＰ爆発
イオ(命中), Crash.wav
イオラ(攻撃), Charge.wav;粒子集中 赤 -.wav;粒子集中 白 -.wav;粒子集中 黄 -.wav;ＭＡＰ大爆発
イオラ(命中), Crash.wav
イオナズン(攻撃), Charge(Long).wav;粒子集中 赤 -.wav;粒子集中 青 -.wav;粒子集中 白 -.wav;粒子集中 黄 -.wav;粒子集中 桃 -.wav;DQ05_イオナズン
イオナズン(命中), Crash.wav
山彦メラゾーマ(攻撃), 大キャノン砲;大キャノン砲
山彦メラゾーマ(命中), 超爆発;超爆発
山彦ベギラゴン(攻撃), 大ビーム 赤 MicroMissile.wav;大ビーム 赤 MicroMissile.wav
山彦ベギラゴン(命中), 大ビーム 赤 -.wav;大ビーム 赤 -.wav
山彦マヒャド(攻撃), 旋風 青;旋風 青
山彦マヒャド(命中), 拡散ビーム 青 glass.wav;拡散ビーム 青 glass.wav
山彦イオナズン(攻撃), Charge(Long).wav;粒子集中 赤 -.wav;粒子集中 青 -.wav;粒子集中 白 -.wav;粒子集中 黄 -.wav;粒子集中 桃 -.wav;DQ05_イオナズン;_
粒子集中 赤 -.wav;粒子集中 青 -.wav;粒子集中 白 -.wav;粒子集中 黄 -.wav;粒子集中 桃 -.wav;DQ05_イオナズン
山彦イオナズン(命中), Crash.wav
ライデイン(準備), Thunder.wav
ライデイン(攻撃), 落雷 Whip.wav
ライデイン(命中), 飛沫 黄 Inori.wav
ギガデイン(攻撃), 落雷 Thunder.wav
ギガデイン(命中), 大放電 Inori.wav
ミナデイン(Ｆ), 大落雷
ミナデイン(Ｂ), 大落雷
ミナデイン(Ｄ), 大落雷
ミナデイン(Ｐ), 大落雷
ザキ(攻撃), 光投射 黒
ザキ(命中), 発光 黒
ザラキ(攻撃), 光投射 黒
ザラキ(命中), 発光 黒
ニフラム(攻撃), 粒子集中 白
ニフラム(クリティカル), 飛沫 白 Inori.wav
