
ドラゴンクエスト５
# 攻撃呪文
メラ(準備), Fire.wav
メラ, Bazooka.wav
メラ(命中), Explode(Small).wav
メラミ(準備), Fire.wav
メラミ, Bazooka.wav
メラミ(命中), Explode(Small).wav
メラゾーマ(準備), MultipleRocketLauncher.wav
メラゾーマ, Warship.wav
メラゾーマ(命中), Explode(Far).wav
バギ, 3;Saber.wav;Saber.wav
バギマ, Storm.wav
バギマ(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav
バギクロス, 3;Saber.wav;3;Saber.wav;Storm.wav
バギクロス(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav
ギラ, Beam.wav
ベギラマ, AntiAirMissile.wav
ベギラゴン(準備), AntiShipMissile.wav
ベギラゴン, MicroMissile.wav
ヒャド(準備), Sword.wav
ヒャド, Bow.wav
ヒャド(命中), 2;Stab.wav
ヒャド(クリティカル), Glass.wav
ヒャダルコ(準備), 1;Sword.wav;1;Sword.wav;Sword.wav
ヒャダルコ, MultipleRocketLauncher(Light).wav
ヒャダルコ(クリティカル), Glass.wav
マヒャド(準備), Wind.wav
マヒャド, 2;Storm.wav;2;Storm.wav;Storm.wav
マヒャド(命中), 2;Glass.wav;2;Glass.wav;Glass.wav
イオ(準備), BeamShot.wav
イオ, Explode.wav
イオラ(準備), 1;BeamShot.wav;BeamShot.wav
イオラ, Explode(Far).wav
イオナズン(準備), Charge.wav
イオナズン, Explode(Nuclear).wav
ライデイン(準備), Charge.wav
ライデイン, Thunder.wav
ギガデイン(準備), Charge(long).wav
ギガデイン, 3;Thunder.wav;3;Thunder.wav;Thunder.wav
ギガデイン(命中), Explode(Far).wav
ミナデイン(Ｂ), LaserGun.wav
ミナデイン(Ｂ)(命中), 3;Thunder.wav;3;Thunder.wav;3;Thunder.wav;Explode(Nuclear).wav
ミナデイン(Ｆ), LaserGun.wav
ミナデイン(Ｆ)(命中), 3;Thunder.wav;3;Thunder.wav;3;Thunder.wav;Explode(Nuclear).wav
ミナデイン(Ｐ), LaserGun.wav
ミナデイン(Ｐ)(命中), 3;Thunder.wav;3;Thunder.wav;3;Thunder.wav;Explode(Nuclear).wav
ザキ, Search.wav
ザキ(命中), Inori.wav;1;Black.bmp 480 480;Clear
ザラキ, Search.wav
ザラキ(命中), Inori.wav;1;Black.bmp 480 480;Clear
ニフラム, BeamShot.wav
ニフラム(クリティカル), Inori.wav;1;White.bmp 480 480;Clear
マダンテ, 4;Charge.wav;Explode(Far).wav
メガンテ, Explode(Far).wav
ドラゴラム(準備), Fire.wav
ドラゴラム, MicroMissile.wav
# 回復呪文
ホイミ, Sharara.wav;1;White.bmp 480 480;Clear
ベホイミ, Sharara.wav;1;White.bmp 480 480;Clear
ベホマ, Sharara.wav;1;White.bmp 480 480;Clear
ベホマラー, Sharara.wav;1;White.bmp 480 480;Clear;Sharara.wav
ベホマズン, 10;Charge(long).wav;Sharara.wav;1;White.bmp 480 480;Clear
# 補助呪文
マホトーン, BeamShot.wav
マホトーン(クリティカル), BreakOff.wav
ラリホー, BeamShot.wav
ラリホー(クリティカル), Bubble.wav
マヌーサ, BeamShot.wav
マヌーサ(クリティカル), Applause.wav;1;White.bmp 480 480
攻撃無効化(スカラ), BeamCoat.wav
攻撃無効化(スクルト), BeamCoat.wav
反射(マホカンタ), BeamCoat.wav
反射(光の壁), Glass.wav
攻撃無効化(天空の鎧), Interference.wav
マホカンタ, BeamCoat.wav;1;White.bmp 480 480
# ブレス
甘い息, Whiz.wav
甘い息(クリティカル), Bubble.wav
凍える吹雪, 2;Storm.wav;2;Storm.wav;Storm.wav
輝く息, Interference.wav
激しい炎(準備), Fire.wav
激しい炎, AntiAirMissile.wav
# 打撃
四本の腕, Charge.wav
四本の腕(命中), Crash.wav
鉄の爪, Swing.wav
鉄の爪(命中), Slash.wav
鉄の爪(クリティカル), 1;Slash.wav;1;Slash.wav;1;Slash.wav
炎の爪, AntiAirMissile.wav
悪魔の爪, Glass.wav
悪魔の爪(命中), Slash.wav
悪魔の爪(クリティカル), 1;Slash.wav;1;Slash.wav;1;Slash.wav
モーニングスター(準備), Swing.wav
モーニングスター, 3;Swing.wav;Swing.wav
モーニングスター(命中), Crash.wav
魔神の金槌, AntiAirMissile.wav
魔神の金槌(命中), Explode(Nuclear).wav
隼の剣, 1;Swing.wav;Swing.wav
隼の剣(命中), 1;Saber.wav;Saber.wav
十字架, Sword.wav
星の杖(命中), Punch.wav
不思議な踊り(命中), PiyoPiyo.wav
宝石(命中), Punch.wav
なめまわし(命中), -.wav
突き飛ばし(命中), Crash.wav
凍てつく波動(準備), Charge.wav;1;Black.bmp 480 480;Clear
凍てつく波動, MicroMissile.wav
凍てつく波動(命中), Inori.wav
会心の一撃, Swing.wav
会心の一撃(命中), 1;Slash.wav;1;Slash.wav;1;Slash.wav;1;Slash.wav;Crash.wav
アルテマソード, 3;Sword.wav;Swing.wav
アルテマソード(命中), 3;Saber.wav;Glass.wav
# 解説集
毒の息(解説), $(ユニット)は毒の息を吐いた。
甘い息(解説), $(ユニット)は甘い息を吐いた。
焼けつく息(解説), $(ユニット)は焼けつく息を吐いた。
猛毒の霧(解説), $(ユニット)は猛毒の霧を吐いた。
火の息(解説), $(ユニット)は火の息を吐いた。
火炎の息(解説), $(ユニット)は火炎の息を吐いた。
激しい炎(解説), $(ユニット)は激しい炎を吐いた。
激しい炎(ＭＡＰ)(解説), $(ユニット)は激しい炎を吐いた。
灼熱の炎(解説), $(ユニット)は灼熱の炎を吐いた。
灼熱の炎(ＭＡＰ)(解説), $(ユニット)は灼熱の炎を吐いた。
冷たい息(解説), $(ユニット)は冷たい息を吐いた。
凍える吹雪(解説), $(ユニット)は凍える吹雪を吐いた。
輝く息(解説), $(ユニット)は輝く息を吐いた。
凍てつく波動(解説), $(ユニット)は凍てつく波動を放った！
凍てつく波動(天空の剣)(解説), $(ユニット)は凍てつく波動を放った！
凍てつく波動(ＭＡＰ)(解説), $(ユニット)の指から凍てつく波動がほとばしる！
まぶしい光(解説), $(ユニット)は体中からまぶしい光を放った。
不気味な光(解説), $(ユニット)は体中から不気味な光を放った。
なめまわし(解説), $(ユニット)は$(相手ユニット)の顔をなめまわした。
ぱふぱふ(解説), $(ユニット)は$(相手ユニット)にぱふぱふをした。
突き飛ばし(解説), $(ユニット)は$(相手ユニット)を突き飛ばした。
皆殺し(解説), $(ユニット)はいきりたって襲い掛かった。
雄叫び(解説), $(ユニット)は雄叫びを上げた。
痛恨の一撃(解説), $(ユニット)の攻撃。痛恨の一撃！
シールド防御(大防御)(解説), $(ユニット)は全ての攻撃に対して身構えている！
山彦メラゾーマ(解説), $(ユニット)はメラゾーマの呪文を唱えた。.山彦となって、呪文が繰り返される！
山彦ベギラゴン(解説), $(ユニット)はベギラゴンの呪文を唱えた。.山彦となって、呪文が繰り返される！
山彦マヒャド(解説), $(ユニット)はマヒャドの呪文を唱えた。.山彦となって、呪文が繰り返される！
山彦イオナズン(解説), $(ユニット)はイオナズンの呪文を唱えた。.山彦となって、呪文が繰り返される！
マダンテ(解説), $(ユニット)は全ての魔力を解き放った。;暴走した魔力が爆発を起こす！
アルテマソード(解説), $(ユニット)はアルテマソードを放った！
