
# ・主役クラスの機体は、抜き出しやすいように機体個別でアニメーションを用意。
# ・共用アニメーションはおとなしめに、機体個別アニメーションは多少動きます。

ガンダムＦ－９１
シールド防御, シールド防御 EFFECT_G0123_BeamShield(F-91).bmp
60mmバルカン砲, 振る武器突撃 -.bmp
60mmバルカン砲(命中), バルカン MachineGun.wav;連続爆発 3
90mmメガマシンキャノン, 内蔵ガトリング
ビームサーベル(準備), @戦闘アニメ_円弧斬撃攻撃 黄 BeamSaber.wav;振る武器 Anime\Beam\EFFECT_BeamSaber(Yellow)02.bmp
ビームサーベル(攻撃), ビームサーベル突撃 黄
ビームサーベル(命中), 光斬撃 黄 中
ビームサーベル(命中), 光なぎ払い 黄 中
ビームサーベル(命中), ダメージ 黄 Saber.wav
ビームライフル, ビームライフル EFFECT_G0123_BeamRifle(F-91).bmp 32
ビームライフル(攻撃), ビームライフル EFFECT_G0123_BeamRifle(F-91).bmp 32 黄 チャージなし
ビームライフル(命中), ビームライフル 黄 -.wav;大爆発
ビームランチャー, ビームランチャー EFFECT_G0123_BeamLauncher(F-91).bmp 48 黄
ビームランチャー(命中), ビームランチャー 黄;連続大爆発 2;大爆発
ヴェスバー(準備), Reload.wav
ヴェスバー(攻撃), ２連中ビーム 黄
ヴェスバー(命中), ２連中ビーム 黄;連続大爆発 3;大爆発

ラフレシア
拡散ビーム砲, マシンキャノン 橙 Beam(8Shot).wav
拡散ビーム砲(命中), マシンキャノン 橙 Explode.wav
ビームキャノン, 多触手 緑
ビームキャノン(命中), 大拡散ビーム 橙 Beam.wav
テンタクラーロッド, 多触手 緑
テンタクラーロッド(命中), 乱打 Explode.wav;多触手 緑 Explode.wav;大爆発
バグ(攻撃), 実弾発射 Unit\G0123_Bug(M).bmp Drill.wav;実弾発射 Unit\G0123_Bug(M).bmp Drill.wav;実弾発射 Unit\G0123_Bug(M).bmp Drill.wav
バグ(命中), 斬撃 Drill.wav;斬撃 Drill.wav;連続描画 Anime\Hit\EFFECT_StrikeHit(Red)[01-04].bmp 64 2.4 4 Drill.wav
メガビームキャノン, 振る武器突撃 -.bmp;２連中ビーム 橙;２連中ビーム 橙;２連中ビーム 橙
メガビームキャノン(命中), 中ビーム 橙;２連中ビーム 橙
メガビームキャノン(命中), ２連中ビーム 橙
メガ粒子砲, 大ビーム 橙

ＭＳ
## 連邦
60mmバルカン砲, バルカン
90mmメガマシンキャノン, 内蔵ガトリング
２連グレネードラック, グレネード 2 Missile.wav
３連グレネードラック, グレネード 3 Missile.wav
４連グレネードラック, グレネード 2 Missile.wav;グレネード 2 Missile.wav
ビームサーベル, ビームサーベル 桃
ビームライフル, ビームライフル 桃 チャージなし
ビームランチャー, ビームランチャー(２) 黄
ヴェスバー(準備), Reload.wav
ヴェスバー, ２連中ビーム 黄
３連拡散ビーム砲, ビームショットキャノン 桃
ダブルビームガン, ２連小ビーム 黄
４連マシンキャノン, チェーンガン -.bmp 32 橙
４連マシンキャノン(命中), チェーンガン 橙
４連ロケットランチャー, グレネード 4 Missile.wav
５連ロケットパック, グレネード 4;グレネード 4 Missile.wav
フィンガーランチャー, 小型ミサイル 4;小型ミサイル 4
４連ミサイルポッド, ミサイル 4;ミサイル 4
200mmキャノン, キャノン砲 2
## Ｃ．Ｂ．
２連ヘビーマシンガン, チェーンガン -.bmp 32 橙 MachineCannon.wav
４連ヘビーマシンガン, チェーンガン -.bmp 32 橙 MachineCannon.wav
ビームガン, 小ビーム 黄
デュアルビームガン, ２連小ビーム 黄
ランスチャージ, 振る武器突撃 -.bmp
ランスチャージ(命中), 大刺突
ランスチャージ(クリティカル), Reload(2).wav;ディレイ 3;ダメージ Explode.wav;連続大爆発 2;大爆発
ショットランサー(準備), Reload.wav
ショットランサー, 実弾発射 Anime\Weapon\EFFECT_KnightLance01.bmp 48 Missile.wav
ショットランサー(命中), ダメージ;大爆発
ビームスプレーガン, ビームショットキャノン 桃
４連ショットクロー, ミサイル 4
４連ショットクロー(命中), 連続爆発 4

戦艦
機関砲, 機関砲
ミサイルランチャー, ミサイル 4
メガ粒子砲, 中ビーム 黄
メガ粒子副砲, ２連小ビーム 桃
メガ粒子主砲, ２連中ビーム 桃
バグ(攻撃), 実弾発射 Unit\G0123_Bug(M).bmp Drill.wav;実弾発射 Unit\G0123_Bug(M).bmp Drill.wav;実弾発射 Unit\G0123_Bug(M).bmp Drill.wav
バグ(命中), ダメージ Drill.wav;ダメージ Drill.wav;連続描画 Anime\Hit\EFFECT_StrikeHit(Red)[01-04].bmp 64 2.4 4 Drill.wav

対人感応殺傷兵器
レーザートーチ, 拡散ビーム 赤
高速チェーンソー, 振る武器突撃 -.bmp
高速チェーンソー(命中), クリティカル斬撃 Drill.wav
子バグ(攻撃), 実弾発射 Unit\G0123_Bug(C).bmp Drill.wav;実弾発射 Unit\G0123_Bug(C).bmp Drill.wav;実弾発射 Unit\G0123_Bug(C).bmp Drill.wav
子バグ(命中), ダメージ Drill.wav;ダメージ Drill.wav;ディレイ 3;連続爆発 3
スラッシュブレード, 振る武器突撃 -.bmp
スラッシュブレード(命中), ダメージ Drill.wav
Ｄグレネード, 振る武器突撃 -.bmp
Ｄグレネード(命中), @戦闘アニメ_自爆攻撃;連続大爆発 3


